I II V1 V2 V3 V4 V5 V6 III aVR aVL aVF
-6.0 -2.0 1.0 4.0 -10.0 -7.0 -5.0 -3.0 2.0 4.5 -1.0 1.0
1.0 -3.0 -0.0 1.0 -9.0 -7.0 -5.0 -4.0 -5.0 1.5 2.5 -2.5
2.0 -3.0 -0.0 1.0 -9.0 -7.0 -4.0 -3.0 -5.0 -0.5 2.5 -2.5
-1.0 -2.0 1.0 3.0 -9.0 -6.0 -1.0 -2.0 -2.0 2.0 1.0 -1.0
1.0 0.0 2.0 3.0 -9.0 -7.0 -3.0 -3.0 -1.0 -0.0 0.5 -0.5
1.0 1.0 1.0 2.0 -9.0 -8.0 -5.0 -3.0 -0.0 -0.5 0.0 -0.0
-2.0 -1.0 1.0 2.0 -11.0 -7.0 -5.0 -3.0 3.0 2.5 -1.5 1.5
-1.0 -2.0 2.0 2.0 -12.0 -6.0 -3.0 -2.0 -3.0 1.0 1.5 -1.5
2.0 -3.0 0.0 3.0 -9.0 -7.0 -3.0 -5.0 -9.0 -0.0 4.5 -4.5
2.0 -2.0 -1.0 1.0 -8.0 -9.0 -2.0 -4.0 -6.0 1.0 3.0 -3.0
2.0 -3.0 -2.0 1.0 -9.0 -9.0 -2.0 -3.0 -4.0 0.5 2.0 -2.0
-2.0 -6.0 -1.0 2.0 -9.0 -8.0 -3.0 -5.0 -3.0 3.0 1.5 -1.5
-6.0 -7.0 -1.0 2.0 -9.0 -7.0 -2.0 -3.0 3.0 5.0 -1.5 1.5
-6.0 -5.0 0.0 2.0 -8.0 -6.0 -3.0 -4.0 2.0 5.5 -1.0 1.0
-3.0 -2.0 2.0 3.0 -10.0 -8.0 -6.0 -3.0 3.0 2.5 -1.5 1.5
-2.0 -1.0 2.0 2.0 -9.0 -9.0 -8.0 -3.0 4.0 0.0 -2.0 2.0
-3.0 -3.0 -0.0 2.0 -6.0 -8.0 -12.0 -0.0 -0.0 2.5 0.0 -0.0
-5.0 -5.0 2.0 3.0 -6.0 -8.0 -12.0 -2.0 -1.0 3.0 0.5 -0.5
-3.0 -4.0 1.0 1.0 -5.0 -9.0 -15.0 -3.0 1.0 1.5 -0.5 0.5
-2.0 -3.0 1.0 1.0 -7.0 -8.0 -13.0 -5.0 0.0 2.0 -0.0 0.0
-2.0 -4.0 2.0 1.0 -8.0 -8.0 -6.0 -5.0 -1.0 2.0 0.5 -0.5
-4.0 -1.0 2.0 1.0 -8.0 -7.0 -4.0 -5.0 -1.0 2.0 0.5 -0.5
3.0 -1.0 1.0 0.0 -7.0 -10.0 -5.0 -7.0 -5.0 -1.5 2.5 -2.5
1.0 0.0 1.0 1.0 -7.0 -8.0 -2.0 -5.0 -1.0 2.0 0.5 -0.5
-1.0 -2.0 2.0 3.0 -6.0 -7.0 -3.0 -4.0 2.0 2.0 -1.0 1.0
-3.0 -0.0 3.0 4.0 -5.0 -6.0 -4.0 -4.0 5.0 -1.0 -2.5 2.5
-3.0 -1.0 2.0 3.0 -4.0 -7.0 -6.0 -6.0 1.0 3.0 -0.5 0.5
0.0 1.0 3.0 4.0 -4.0 -7.0 -4.0 -4.0 1.0 2.0 -0.5 0.5
-2.0 1.0 4.0 4.0 -4.0 -5.0 -4.0 -5.0 1.0 1.0 -0.5 0.5
-1.0 4.0 5.0 5.0 -3.0 -3.0 -1.0 -2.0 6.0 -0.0 -3.0 3.0
-2.0 5.0 5.0 6.0 -1.0 -3.0 1.0 -1.0 5.0 -0.0 -2.5 2.5
-1.0 6.0 6.0 6.0 -1.0 -3.0 0.0 0.0 8.0 -3.0 -4.0 4.0
-1.0 8.0 6.0 6.0 -0.0 -3.0 -0.0 -1.0 6.0 -3.5 -3.0 3.0
1.0 6.0 7.0 7.0 -1.0 -2.0 -0.0 -0.0 6.0 -1.5 -3.0 3.0
3.0 8.0 8.0 8.0 1.0 -1.0 2.0 1.0 4.0 -4.0 -2.0 2.0
4.0 10.0 8.0 9.0 1.0 -2.0 0.0 0.0 4.0 -6.0 -2.0 2.0
5.0 12.0 8.0 8.0 0.0 -3.0 0.0 -1.0 6.0 -8.0 -3.0 3.0
4.0 13.0 9.0 9.0 1.0 -2.0 1.0 -1.0 9.0 -9.5 -4.5 4.5
4.0 13.0 10.0 10.0 3.0 -2.0 1.0 1.0 9.0 -8.0 -4.5 4.5
3.0 10.0 12.0 12.0 6.0 0.0 2.0 1.0 7.0 -6.5 -3.5 3.5
-2.0 10.0 12.0 9.0 4.0 -2.0 -0.0 -3.0 12.0 -4.0 -6.0 6.0
-1.0 9.0 13.0 11.0 4.0 0.0 0.0 2.0 11.0 -1.5 -5.5 5.5
-2.0 10.0 12.0 11.0 5.0 0.0 0.0 1.0 11.0 -4.0 -5.5 5.5
-1.0 10.0 13.0 12.0 4.0 1.0 0.0 2.0 12.0 -5.0 -6.0 6.0
1.0 12.0 14.0 13.0 7.0 2.0 3.0 4.0 11.0 -6.0 -5.5 5.5
4.0 17.0 13.0 12.0 7.0 0.0 2.0 2.0 12.0 -9.0 -6.0 6.0
7.0 18.0 11.0 11.0 8.0 1.0 3.0 2.0 14.0 -12.0 -7.0 7.0
7.0 16.0 10.0 11.0 9.0 2.0 3.0 2.0 9.0 -11.5 -4.5 4.5
6.0 17.0 9.0 11.0 9.0 2.0 4.0 3.0 11.0 -11.5 -5.5 5.5
7.0 18.0 9.0 10.0 10.0 4.0 5.0 4.0 13.0 -10.5 -6.5 6.5
4.0 19.0 10.0 12.0 13.0 6.0 9.0 7.0 15.0 -11.5 -7.5 7.5
3.0 21.0 8.0 10.0 12.0 5.0 8.0 6.0 14.0 -11.0 -7.0 7.0
8.0 18.0 5.0 8.0 11.0 3.0 4.0 2.0 11.0 -13.0 -5.5 5.5
9.0 17.0 6.0 8.0 11.0 3.0 5.0 3.0 8.0 -13.0 -4.0 4.0
8.0 16.0 8.0 8.0 10.0 3.0 5.0 4.0 10.0 -11.5 -5.0 5.0
4.0 17.0 7.0 9.0 11.0 4.0 6.0 5.0 13.0 -10.0 -6.5 6.5
3.0 14.0 4.0 9.0 10.0 4.0 6.0 5.0 13.0 -8.0 -6.5 6.5
3.0 11.0 4.0 10.0 11.0 5.0 8.0 6.0 6.0 -7.5 -3.0 3.0
4.0 11.0 3.0 9.0 11.0 2.0 6.0 5.0 7.0 -7.5 -3.5 3.5
7.0 10.0 2.0 8.0 9.0 1.0 4.0 4.0 6.0 -8.5 -3.0 3.0
5.0 6.0 3.0 6.0 8.0 2.0 3.0 6.0 2.0 -7.5 -1.0 1.0
6.0 6.0 0.0 4.0 5.0 -1.0 1.0 3.0 1.0 -4.5 -0.5 0.5
3.0 7.0 -3.0 0.0 2.0 -6.0 -2.0 -2.0 3.0 -5.0 -1.5 1.5
1.0 3.0 -3.0 0.0 4.0 -3.0 1.0 1.0 3.0 -1.5 -1.5 1.5
1.0 3.0 -3.0 1.0 3.0 -3.0 0.0 0.0 0.0 -1.5 -0.0 0.0
0.0 2.0 -0.0 0.0 1.0 -4.0 -3.0 1.0 2.0 -1.0 -1.0 1.0
1.0 2.0 -1.0 -1.0 -1.0 -5.0 -2.0 -1.0 1.0 -1.5 -0.5 0.5
1.0 0.0 -1.0 -0.0 -2.0 -7.0 -4.0 -1.0 1.0 -1.5 -0.5 0.5
-1.0 -0.0 -0.0 -1.0 -2.0 -6.0 -3.0 1.0 2.0 -1.5 -1.0 1.0
-0.0 -0.0 -2.0 -2.0 -2.0 -7.0 -6.0 -2.0 1.0 -0.5 -0.5 0.5
-3.0 -2.0 -2.0 -3.0 -2.0 -8.0 -6.0 -3.0 1.0 2.5 -0.5 0.5
-1.0 -5.0 -2.0 -5.0 -3.0 -7.0 -7.0 -4.0 1.0 0.5 -0.5 0.5
-7.0 -8.0 -1.0 -1.0 -3.0 -10.0 -9.0 -6.0 -1.0 7.5 0.5 -0.5
-4.0 -6.0 0.0 -4.0 -1.0 -10.0 -8.0 -7.0 -1.0 4.0 0.5 -0.5
-2.0 -4.0 1.0 -2.0 -1.0 -10.0 -7.0 -7.0 -4.0 3.0 2.0 -2.0
-1.0 -4.0 -1.0 -4.0 -0.0 -12.0 -9.0 -9.0 -6.0 0.5 3.0 -3.0
-4.0 -3.0 -3.0 -5.0 -1.0 -12.0 -10.0 -11.0 1.0 4.5 -0.5 0.5
-4.0 -6.0 -1.0 -3.0 -4.0 -10.0 -13.0 -7.0 -1.0 5.5 0.5 -0.5
-4.0 -8.0 -0.0 -4.0 -4.0 -10.0 -11.0 -8.0 -4.0 6.0 2.0 -2.0
-7.0 -10.0 -2.0 -5.0 -5.0 -10.0 -7.0 -7.0 -3.0 7.5 1.5 -1.5
-6.0 -8.0 -1.0 -4.0 -4.0 -11.0 -7.0 -7.0 -2.0 7.0 1.0 -1.0
-4.0 -5.0 -0.0 -5.0 -3.0 -9.0 -10.0 -4.0 -1.0 5.0 0.5 -0.5
-10.0 -8.0 -2.0 -6.0 -4.0 -7.0 -8.0 -5.0 2.0 9.0 -1.0 1.0
-6.0 -8.0 -1.0 -6.0 -5.0 -8.0 -8.0 -4.0 -1.0 8.5 0.5 -0.5
-6.0 -7.0 -3.0 -4.0 -7.0 -8.0 -6.0 -6.0 -4.0 8.0 2.0 -2.0
-4.0 -8.0 -6.0 -5.0 -9.0 -9.0 -7.0 -7.0 -4.0 6.0 2.0 -2.0
-7.0 -8.0 -2.0 -5.0 -6.0 -10.0 -11.0 -8.0 -4.0 7.5 2.0 -2.0
-4.0 -9.0 -1.0 -3.0 -6.0 -10.0 -12.0 -9.0 -5.0 6.5 2.5 -2.5
-5.0 -8.0 -3.0 -5.0 -8.0 -10.0 -15.0 -8.0 -6.0 7.5 3.0 -3.0
-4.0 -9.0 -3.0 -3.0 -6.0 -8.0 -13.0 -6.0 -2.0 6.5 1.0 -1.0
-7.0 -8.0 -2.0 -2.0 -6.0 -6.0 -12.0 -4.0 -3.0 7.5 1.5 -1.5
-7.0 -9.0 -2.0 -2.0 -5.0 -5.0 -12.0 -8.0 -2.0 8.0 1.0 -1.0
-6.0 -10.0 1.0 -2.0 -3.0 -8.0 -12.0 -10.0 -3.0 9.5 1.5 -1.5
-3.0 -10.0 1.0 -4.0 -2.0 -10.0 -11.0 -9.0 -3.0 7.0 1.5 -1.5
-4.0 -10.0 -1.0 -4.0 -6.0 -11.0 -10.0 -11.0 -5.0 4.5 2.5 -2.5
-6.0 -8.0 -1.0 -5.0 -7.0 -11.0 -10.0 -11.0 -5.0 7.0 2.5 -2.5
-7.0 -8.0 -2.0 -5.0 -7.0 -10.0 -9.0 -12.0 -5.0 9.0 2.5 -2.5
-9.0 -8.0 -1.0 -6.0 -5.0 -11.0 -8.0 -10.0 -2.0 8.5 1.0 -1.0
-10.0 -10.0 -0.0 -4.0 -3.0 -12.0 -7.0 -9.0 -4.0 10.5 2.0 -2.0
-7.0 -10.0 -0.0 -3.0 -3.0 -11.0 -8.0 -8.0 -3.0 10.5 1.5 -1.5
-9.0 -11.0 0.0 -2.0 -6.0 -8.0 -9.0 -10.0 -1.0 11.0 0.5 -0.5
-7.0 -7.0 0.0 -1.0 -6.0 -7.0 -7.0 -8.0 -4.0 7.5 2.0 -2.0
-1.0 -7.0 0.0 1.0 -3.0 -8.0 -8.0 -8.0 -6.0 4.0 3.0 -3.0
-2.0 -9.0 2.0 3.0 -3.0 -5.0 -10.0 -9.0 -7.0 7.5 3.5 -3.5
-3.0 -10.0 3.0 9.0 -0.0 -2.0 -12.0 -7.0 -7.0 7.0 3.5 -3.5
1.0 -9.0 4.0 18.0 7.0 2.0 -11.0 -9.0 -9.0 6.0 4.5 -4.5
2.0 -6.0 9.0 29.0 19.0 8.0 -6.0 -10.0 -10.0 5.0 5.0 -5.0
2.0 -7.0 14.0 37.0 28.0 18.0 -5.0 -9.0 -9.0 3.5 4.5 -4.5
4.0 -3.0 16.0 42.0 38.0 25.0 1.0 -9.0 -8.0 2.0 4.0 -4.0
2.0 -1.0 21.0 47.0 46.0 33.0 8.0 -5.0 -3.0 -0.5 1.5 -1.5
4.0 4.0 19.0 38.0 54.0 45.0 19.0 4.0 0.0 -4.0 -0.0 0.0
3.0 12.0 14.0 21.0 58.0 57.0 32.0 14.0 12.0 -7.5 -6.0 6.0
6.0 23.0 4.0 -2.0 59.0 71.0 46.0 28.0 20.0 -14.0 -10.0 10.0
8.0 32.0 -4.0 -34.0 51.0 82.0 60.0 42.0 26.0 -21.0 -13.0 13.0
9.0 40.0 -9.0 -76.0 40.0 87.0 75.0 55.0 31.0 -25.5 -15.5 15.5
7.0 48.0 -17.0 -115.0 23.0 86.0 90.0 71.0 44.0 -28.5 -22.0 22.0
5.0 55.0 -28.0 -153.0 4.0 86.0 103.0 90.0 53.0 -31.0 -26.5 26.5
1.0 61.0 -38.0 -185.0 -15.0 79.0 114.0 102.0 59.0 -29.5 -29.5 29.5
