I II V1 V2 V3 V4 V5 V6 III aVR aVL aVF
-6.0 -7.0 9.0 3.0 -4.0 -6.0 -6.0 -8.0 -1.0 7.0 0.5 -0.5
-6.0 -7.0 9.0 3.0 -4.0 -6.0 -6.0 -8.0 -1.0 7.0 0.5 -0.5
-6.0 -7.0 8.0 3.0 -4.0 -6.0 -6.0 -8.0 -1.0 7.5 0.5 -0.5
-6.0 -8.0 8.0 3.0 -4.0 -6.0 -6.0 -8.0 -2.0 7.0 1.0 -1.0
-6.0 -8.0 8.0 3.0 -4.0 -6.0 -6.0 -8.0 -2.0 7.0 1.0 -1.0
-6.0 -9.0 8.0 3.0 -4.0 -6.0 -6.0 -8.0 -2.0 7.0 1.0 -1.0
-7.0 -9.0 8.0 3.0 -4.0 -7.0 -6.0 -8.0 -2.0 7.0 1.0 -1.0
-7.0 -9.0 8.0 3.0 -4.0 -7.0 -6.0 -8.0 -2.0 7.0 1.0 -1.0
-7.0 -9.0 8.0 3.0 -4.0 -7.0 -6.0 -8.0 -2.0 7.0 1.0 -1.0
-7.0 -9.0 8.0 3.0 -4.0 -6.0 -6.0 -8.0 -2.0 7.0 1.0 -1.0
-7.0 -8.0 8.0 2.0 -3.0 -6.0 -7.0 -8.0 -2.0 7.5 1.0 -1.0
-7.0 -8.0 8.0 3.0 -3.0 -5.0 -7.0 -8.0 -2.0 7.5 1.0 -1.0
-7.0 -8.0 8.0 3.0 -3.0 -5.0 -6.0 -7.0 -2.0 7.5 1.0 -1.0
-7.0 -8.0 8.0 4.0 -3.0 -6.0 -6.0 -7.0 -2.0 7.0 1.0 -1.0
-7.0 -8.0 8.0 4.0 -3.0 -6.0 -6.0 -7.0 -2.0 7.5 1.0 -1.0
-7.0 -9.0 8.0 4.0 -3.0 -5.0 -5.0 -7.0 -2.0 7.5 1.0 -1.0
-7.0 -9.0 9.0 4.0 -3.0 -5.0 -5.0 -7.0 -2.0 7.5 1.0 -1.0
-7.0 -9.0 9.0 4.0 -3.0 -5.0 -5.0 -7.0 -2.0 7.5 1.0 -1.0
-7.0 -9.0 9.0 4.0 -3.0 -5.0 -5.0 -7.0 -3.0 7.5 1.5 -1.5
-7.0 -9.0 9.0 4.0 -3.0 -5.0 -5.0 -7.0 -2.0 7.5 1.0 -1.0
-7.0 -9.0 9.0 4.0 -2.0 -5.0 -5.0 -7.0 -3.0 7.5 1.5 -1.5
-6.0 -8.0 9.0 4.0 -3.0 -5.0 -5.0 -7.0 -3.0 7.0 1.5 -1.5
-6.0 -8.0 9.0 4.0 -3.0 -5.0 -5.0 -7.0 -3.0 7.0 1.5 -1.5
-6.0 -8.0 9.0 4.0 -3.0 -5.0 -5.0 -7.0 -4.0 7.0 2.0 -2.0
-6.0 -8.0 9.0 3.0 -3.0 -5.0 -5.0 -7.0 -4.0 7.0 2.0 -2.0
-6.0 -8.0 9.0 3.0 -3.0 -5.0 -5.0 -7.0 -4.0 7.0 2.0 -2.0
-6.0 -9.0 8.0 3.0 -3.0 -5.0 -5.0 -7.0 -4.0 7.0 2.0 -2.0
-5.0 -8.0 8.0 3.0 -3.0 -5.0 -5.0 -7.0 -4.0 7.0 2.0 -2.0
-5.0 -8.0 8.0 3.0 -3.0 -4.0 -5.0 -7.0 -3.0 7.0 1.5 -1.5
