I II V1 V2 V3 V4 V5 V6 III aVR aVL aVF
-9.5 -6.0 3.0 -5.0 -5.0 -4.5 -5.0 -9.5 5.5 7.5 -2.75 2.75
-8.5 -5.0 3.5 -4.5 -5.5 -3.5 -4.5 -9.5 4.5 6.5 -2.25 2.25
-8.0 -5.5 2.5 -4.5 -5.0 -3.5 -4.5 -9.0 3.5 6.75 -1.75 1.75
-8.0 -5.0 2.0 -4.5 -4.5 -3.0 -5.0 -9.0 3.0 6.75 -1.5 1.5
-6.5 -4.5 1.5 -4.0 -4.0 -2.5 -4.0 -9.0 1.5 5.75 -0.75 0.75
-6.5 -3.5 1.0 -3.5 -3.5 -2.5 -4.0 -9.5 2.0 4.0 -1.0 1.0
-6.5 -3.5 2.0 -3.5 -3.0 -2.5 -4.5 -9.5 1.5 4.75 -0.75 0.75
-7.0 -4.0 1.5 -4.0 -4.5 -2.5 -5.0 -11.0 2.0 5.25 -1.0 1.0
-8.0 -5.5 1.0 -3.5 -5.5 -3.0 -6.0 -11.5 3.0 6.25 -1.5 1.5
-9.0 -6.0 1.5 -4.0 -6.5 -3.5 -6.5 -11.5 4.5 7.25 -2.25 2.25
-10.0 -6.5 1.5 -3.0 -7.0 -3.0 -7.0 -11.5 5.0 8.0 -2.5 2.5
-11.0 -7.0 1.0 -3.5 -7.0 -3.0 -7.0 -10.5 5.0 8.5 -2.5 2.5
-10.0 -5.5 1.0 -2.5 -7.0 -3.0 -6.0 -10.0 5.0 8.0 -2.5 2.5
-9.0 -5.0 1.0 -1.0 -7.0 -3.0 -5.5 -10.0 5.5 7.75 -2.75 2.75
-9.0 -4.5 1.0 -1.5 -6.0 -3.0 -5.0 -9.5 5.5 7.75 -2.75 2.75
-8.5 -4.0 1.0 -1.5 -6.5 -3.5 -4.5 -9.5 6.0 7.25 -3.0 3.0
-9.0 -3.0 1.0 -1.0 -6.5 -3.5 -4.5 -9.5 5.5 6.75 -2.75 2.75
-9.0 -4.0 1.0 -2.0 -7.0 -3.5 -4.0 -10.0 5.0 7.5 -2.5 2.5
-9.0 -4.0 1.5 -1.5 -7.0 -4.0 -4.0 -10.5 4.5 7.25 -2.25 2.25
-9.5 -4.0 1.5 -2.5 -6.5 -3.0 -4.0 -10.5 4.5 7.5 -2.25 2.25
-10.0 -4.5 1.5 -2.5 -6.0 -2.0 -4.0 -10.5 5.0 8.25 -2.5 2.5
-9.5 -5.0 2.0 -2.5 -6.5 -1.0 -5.0 -11.0 4.5 8.5 -2.25 2.25
-9.0 -5.5 2.0 -3.0 -6.5 -1.0 -5.5 -10.0 4.0 7.75 -2.0 2.0
-9.5 -4.0 2.0 -2.0 -6.0 -2.5 -6.5 -10.0 3.0 7.0 -1.5 1.5
-9.0 -5.5 2.0 -2.0 -6.5 -2.5 -6.5 -9.5 3.5 7.0 -1.75 1.75
-8.5 -5.5 2.0 -2.0 -7.0 -2.5 -6.0 -9.5 3.5 7.0 -1.75 1.75
