I II V1 V2 V3 V4 V5 V6 III aVR aVL aVF
-16.0 -17.0 -3.0 -19.0 -27.0 -27.0 -20.0 -18.0 -0.0 16.0 0.0 -0.0
-10.0 -18.0 -5.0 -23.0 -28.0 -29.0 -24.0 -19.0 -9.0 14.0 4.5 -4.5
-12.0 -17.0 -6.0 -23.0 -28.0 -29.0 -22.0 -18.0 -6.0 14.5 3.0 -3.0
-11.0 -18.0 -4.0 -22.0 -29.0 -28.0 -22.0 -19.0 -8.0 15.0 4.0 -4.0
-11.0 -21.0 -7.0 -23.0 -31.0 -32.0 -25.0 -22.0 -11.0 18.0 5.5 -5.5
-3.0 -22.0 -9.0 -25.0 -33.0 -31.0 -25.0 -24.0 -14.0 13.5 7.0 -7.0
-9.0 -18.0 -8.0 -24.0 -30.0 -27.0 -22.0 -23.0 -13.0 14.5 6.5 -6.5
-13.0 -20.0 -5.0 -23.0 -29.0 -30.0 -22.0 -21.0 -9.0 15.0 4.5 -4.5
-9.0 -18.0 -5.0 -22.0 -28.0 -31.0 -23.0 -20.0 -10.0 14.0 5.0 -5.0
-6.0 -14.0 -3.0 -19.0 -28.0 -24.0 -21.0 -18.0 -8.0 10.0 4.0 -4.0
-14.0 -16.0 -2.0 -22.0 -25.0 -24.0 -19.0 -17.0 -3.0 13.0 1.5 -1.5
-7.0 -14.0 -2.0 -20.0 -26.0 -25.0 -20.0 -16.0 -8.0 11.0 4.0 -4.0
-6.0 -15.0 -4.0 -21.0 -28.0 -28.0 -21.0 -17.0 -9.0 10.5 4.5 -4.5
-9.0 -15.0 -3.0 -21.0 -27.0 -28.0 -22.0 -18.0 -6.0 12.0 3.0 -3.0
-10.0 -19.0 -6.0 -23.0 -33.0 -32.0 -26.0 -23.0 -9.0 15.0 4.5 -4.5
-3.0 -18.0 -7.0 -24.0 -32.0 -33.0 -25.0 -23.0 -12.0 8.5 6.0 -6.0
-7.0 -16.0 -5.0 -24.0 -31.0 -30.0 -24.0 -21.0 -9.0 8.5 4.5 -4.5
-10.0 -18.0 -5.0 -22.0 -30.0 -30.0 -25.0 -22.0 -7.0 12.0 3.5 -3.5
-9.0 -16.0 -5.0 -22.0 -29.0 -30.0 -24.0 -22.0 -9.0 12.0 4.5 -4.5
-11.0 -15.0 -4.0 -20.0 -26.0 -22.0 -20.0 -17.0 -10.0 10.0 5.0 -5.0
-17.0 -17.0 -1.0 -19.0 -27.0 -25.0 -21.0 -17.0 0.0 17.0 -0.0 0.0
-12.0 -17.0 -3.0 -22.0 -28.0 -27.0 -22.0 -20.0 -5.0 14.5 2.5 -2.5
-8.0 -16.0 -4.0 -22.0 -29.0 -28.0 -20.0 -17.0 -9.0 13.5 4.5 -4.5
-10.0 -17.0 -4.0 -23.0 -27.0 -29.0 -23.0 -19.0 -7.0 13.0 3.5 -3.5
-9.0 -19.0 -7.0 -23.0 -33.0 -33.0 -25.0 -23.0 -11.0 14.5 5.5 -5.5
2.0 -18.0 -7.0 -24.0 -32.0 -32.0 -25.0 -23.0 -12.0 8.0 6.0 -6.0
-10.0 -20.0 -6.0 -23.0 -31.0 -30.0 -24.0 -21.0 -12.0 15.5 6.0 -6.0
-13.0 -19.0 -3.0 -20.0 -30.0 -29.0 -24.0 -20.0 -6.0 14.0 3.0 -3.0
-9.0 -19.0 -5.0 -22.0 -28.0 -31.0 -23.0 -20.0 -9.0 14.0 4.5 -4.5
-11.0 -16.0 -4.0 -23.0 -27.0 -27.0 -24.0 -19.0 -8.0 14.5 4.0 -4.0
-18.0 -17.0 -1.0 -22.0 -25.0 -27.0 -23.0 -17.0 -7.0 18.0 3.5 -3.5
-10.0 -20.0 -4.0 -23.0 -29.0 -29.0 -19.0 -20.0 -11.0 15.5 5.5 -5.5
-7.0 -16.0 -4.0 -22.0 -30.0 -29.0 -19.0 -18.0 -11.0 11.5 5.5 -5.5
-9.0 -16.0 -4.0 -22.0 -29.0 -28.0 -21.0 -18.0 -5.0 12.5 2.5 -2.5
-9.0 -17.0 -4.0 -21.0 -30.0 -29.0 -23.0 -19.0 -8.0 13.0 4.0 -4.0
1.0 -15.0 -5.0 -24.0 -28.0 -32.0 -21.0 -20.0 -16.0 7.0 8.0 -8.0
-5.0 -16.0 -5.0 -22.0 -29.0 -29.0 -21.0 -18.0 -8.0 12.0 4.0 -4.0
-7.0 -17.0 -5.0 -23.0 -31.0 -30.0 -25.0 -19.0 -9.0 12.5 4.5 -4.5
-7.0 -18.0 -4.0 -24.0 -31.0 -30.0 -25.0 -20.0 -10.0 13.0 5.0 -5.0
-11.0 -18.0 -3.0 -21.0 -25.0 -24.0 -20.0 -17.0 -7.0 14.5 3.5 -3.5
-16.0 -17.0 -1.0 -20.0 -25.0 -27.0 -22.0 -16.0 0.0 15.0 -0.0 0.0
-8.0 -17.0 -2.0 -20.0 -28.0 -28.0 -21.0 -18.0 -5.0 15.0 2.5 -2.5
-5.0 -12.0 -3.0 -20.0 -28.0 -28.0 -20.0 -18.0 -7.0 8.5 3.5 -3.5
-8.0 -11.0 -1.0 -17.0 -26.0 -26.0 -19.0 -18.0 -4.0 9.0 2.0 -2.0
-4.0 -12.0 -3.0 -18.0 -26.0 -29.0 -23.0 -21.0 -8.0 8.0 4.0 -4.0
1.0 -11.0 -3.0 -21.0 -28.0 -31.0 -19.0 -20.0 -14.0 5.5 7.0 -7.0
-2.0 -11.0 -1.0 -19.0 -28.0 -26.0 -21.0 -20.0 -9.0 9.0 4.5 -4.5
-4.0 -12.0 -1.0 -17.0 -26.0 -26.0 -21.0 -17.0 -3.0 7.5 1.5 -1.5
